job service_time end_time
0 129.409 1571321899.814851
1 127.711 1571322205.116418
2 127.401 1571322332.517414
3 127.649 1571322460.166725
4 127.358 1571322587.524843
5 128.786 1571322716.311035
6 129.014 1571322845.324747
7 127.843 1571322973.167742
8 127.797 1571323100.964939
9 128.883 1571323229.848003
10 129.628 1571323359.476507
11 129.51 1571323488.986228
12 127.78 1571323954.192685
13 122.25 1571324189.662303
14 120.94 1571324497.352876
15 120.974 1571324682.387544
16 121.191 1571324803.579076
17 121.104 1571325037.518445
18 121.958 1571325207.372877
