job service_time end_time
0 192.507 1571833061.336229
1 172.454 1571833348.283450
2 172.943 1571833521.226869
3 169.337 1571833690.563591
4 176.415 1571833866.979123
5 171.775 1571834038.754206
6 173.522 1571834212.276315
7 169.17 1571834381.446409
8 171.934 1571834553.380807
9 171.848 1571834725.228684
10 173.006 1571834898.234672
11 172.782 1571835071.016653
12 174.316 1571835245.332660
13 173.258 1571835418.590816
14 173.05 1571835647.883064
15 175.623 1571835835.456343
16 172.829 1571836008.285079
17 171.607 1571836186.441555
18 170.21 1571836356.651690
